#Created using genes_of_rxns.pl on Monday, October 23rd, 2023.
Reaction ID	gene
RXN0-3741	b4055
PROTOHEMEFERROCHELAT-RXN	b0475
PROTOHEMEFERROCHELAT-RXN	b1019
PROTOHEMEFERROCHELAT-RXN	b2431
SORB6PDEHYDROG-RXN	b2705
DGTPTRIPHYDRO-RXN	b0160
RXN0-4281	b3001
RXN0-4281	b0207
RXN0-4281	b3012
RXN0-4281	b1781
RXN0-4281	b3011
RXN-17493	b0980
PYRNUTRANSHYDROGEN-RXN	b3962
SULFITE-REDUCT-RXN	b2763
SULFITE-REDUCT-RXN	b2764
DIHYDROOROT-RXN	b1062
R524-RXN	b0340
THREODEHYD-RXN	b3616
THREODEHYD-RXN	b3589
DTDPGLUCDEHYDRAT-RXN	b2041
DTDPGLUCDEHYDRAT-RXN	b3788
RXN0-5118	b3621
RIBOSYLPYRIMIDINE-NUCLEOSIDASE-RXN	b2162
TRE6PHYDRO-RXN	b4239
ERYTHRON4PDEHYDROG-RXN	b2320
RXN0-5183	b0403
RXN-19020	b3518
RXN0-5330	b2288
RXN0-5330	b2282
RXN0-5330	b2280
RXN0-5330	b2279
RXN0-5330	b2278
RXN0-5330	b2277
RXN0-5330	b2276
RXN0-5330	b2281
RXN0-5330	b2283
RXN0-5330	b2284
RXN0-5330	b2285
RXN0-5330	b2286
RXN0-5330	b2287
RXN0-5330	b1109
TYROSINE--TRNA-LIGASE-RXN	b1637
FRUCTOKINASE-RXN	b0394
RXN0-5216	b0732
1.1.1.39-RXN	b1479
RXN-17956	b4098
RXN-11573	b1822
UNDECAPRENYL-DIPHOSPHATASE-RXN	b3057
UNDECAPRENYL-DIPHOSPHATASE-RXN	b0841
UNDECAPRENYL-DIPHOSPHATASE-RXN	b1278
GART-RXN	b2500
RXN0-5292	b2291
RXN0-5292	b0383
2-OCTAPRENYLPHENOL-HYDROX-RXN	b2906
RXN-11635	b3084
XANTHOSINEPHOSPHORY-RXN	b2407
XANTHOSINEPHOSPHORY-RXN	b0391
GLUCONOKIN-RXN	b4268
GLUCONOKIN-RXN	b3437
RXN0-5390	b0443
2.7.1.148-RXN	b1208
RXN-11839	b3166
GLUTCYSLIG-RXN	b2688
3-DEHYDROQUINATE-DEHYDRATASE-RXN	b1693
RXN-19381	b1919
RXN-12104	b4166
GLYCOLALD-DEHYDROG-RXN	b1415
RXN-19920	b1120
GPH-RXN	b3385
GPH-RXN	b0383
3.2.2.10-RXN	b2795
RXN-20155	b2224
H2NEOPTERINALDOL-RXN	b3058
RXN-20706	b1012
HOMOSERKIN-RXN	b0003
4.3.1.17-RXN	b2797
4.3.1.17-RXN	b3117
4.3.1.17-RXN	b1814
4.3.1.17-RXN	b3111
RXN-14073	b3449
INOSINEKIN-RXN	b0477
RXN0-6576	b1430
7KAPSYN-RXN	b0776
RXN-21279	b3635
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	b0722
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	b0721
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	b0724
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	b0723
RXN-14181	b0383
KETOBUTFORMLY-RXN	b3114
KETOBUTFORMLY-RXN	b0903
RXN0-6938	b0585
ACNEULY-RXN	b3225
RXN-5822	b0383
RXN-14285	b3417
DIMESULFREDUCT-RXN	b0894
DIMESULFREDUCT-RXN	b0895
DIMESULFREDUCT-RXN	b0896
LTARTDEHYDRA-RXN	b3062
LTARTDEHYDRA-RXN	b3061
RXN0-6981	b0237
ADENPRIBOSYLTRAN-RXN	b0469
RXN-7913	b0910
RXN-14478	b0585
MANNITOL-1-PHOSPHATASE-RXN	b2293
MANNITOL-1-PHOSPHATASE-RXN	b1727
ALCOHOL-DEHYDROG-GENERIC-RXN	b1478
ALCOHOL-DEHYDROG-GENERIC-RXN	b1241
METHYLMALONYL-COA-MUT-RXN	b2917
RXN0-705	b4196
RXN0-705	b3581
AMINEPHEN-RXN	b1386
RXN-9597	b1386
NAG1P-URIDYLTRANS-RXN	b3730
RXN0-7104	b1396
ARYLAMINE-N-ACETYLTRANSFERASE-RXN	b1463
RXN0-1461	b2436
RXN-15119	b0304
RXN-15119	b1227
RXN-15119	b1225
RXN-15119	b1224
RXN-15119	b1465
RXN-15119	b1468
RXN-15119	b1467
RXN-15119	b0116
O-SUCCHOMOSERLYASE-RXN	b3939
RXN0-2022	b0871
RXN-15296	b3880
P-PANTOCYSDECARB-RXN	b3639
DLACTDEHYDROGFAD-RXN	b2133
RXN0-7272	b0789
CARDIOLIPSYN-RXN	b1249
CARDIOLIPSYN-RXN	b0789
RXN0-2601	b1633
RXN-11496	b0871
RXN-15744	b0325
RXN0-7319	b2660
COBINAMIDEKIN-RXN	b1993
RXN0-2942	b1159
RXN-16286	b3546
PHOSGLYPHOS-RXN	b2926
RXN0-7362	b0383
CYTIDINEKIN-RXN	b2066
PORPHOBILSYNTH-RXN	b0369
RXNMETA-12671	b1387
DCYSDESULF-RXN	b1919
RXN0-384	b1865
PRPPSYN-RXN	b1207
SPERMIDINESYN-RXN	b0121
DHDOGALDOL-RXN	b0268
RXN0-4342	b3052
RXN-17630	b1967
DALADEHYDROG-RXN	b1189
PYRROLINECARBREDUCT-RXN	b0386
TAGAALDOL-RXN	b3132
TAGAALDOL-RXN	b3137
TAGAALDOL-RXN	b2095
TAGAALDOL-RXN	b2096
DIHYDROXYMETVALDEHYDRAT-RXN	b3771
RXN0-5061	b3620
RXN-17775	b0221
RFFTRANS-RXN	b3791
DTMPKI-RXN	b1098
RXN0-5122	b3632
RXN-17791	b3845
RXN-17791	b2342
TREHALOSEPHOSPHA-RXN	b1897
EXOPOLYPHOSPHATASE-RXN	b2502
RXN0-5186	b2690
UDP-NACMURALA-GLU-LIG-RXN	b0088
FUCPALDOL-RXN	b2800
1.13.11.16-RXN	b0348
RXN-17962	b4093
RXN-11578	b3740
UREIDOGLYCOLATE-LYASE-RXN	b0505
GDP-GLUCOSIDASE-RXN	b2051
RXN0-5297	b3721
2.1.1.72-RXN	b3387
2.1.1.72-RXN	b3262
XYLULOKIN-RXN	b3564
GLUCOSAMINE-KINASE-RXN	b2388
RXN0-5395	b3080
2.7.13.3-RXN	b3026
2.7.13.3-RXN	b0695
2.7.13.3-RXN	b1968
2.7.13.3-RXN	b2556
2.7.13.3-RXN	b2370
2.7.13.3-RXN	b2218
2.7.13.3-RXN	b3404
2.7.13.3-RXN	b0619
2.7.13.3-RXN	b4125
2.7.13.3-RXN	b4399
2.7.13.3-RXN	b2126
2.7.13.3-RXN	b4112
2.7.13.3-RXN	b2786
2.7.13.3-RXN	b2078
2.7.13.3-RXN	b2219
2.7.13.3-RXN	b3210
2.7.13.3-RXN	b0400
2.7.13.3-RXN	b2380
2.7.13.3-RXN	b4003
RXN-11842	b0058
GLUTKIN-RXN	b0242
RXN0-5462	b2918
RXN0-5462	b4161
RXN0-5462	b4173
RXN0-5462	b2511
RXN0-5462	b3590
RXN0-5462	b2727
RXN0-5462	b2173
RXN0-5462	b4352
RXN0-5462	b0980
RXN0-5462	b2569
RXN0-5462	b2566
3-ISOPROPYLMALDEHYDROG-RXN	b0073
3-ISOPROPYLMALDEHYDROG-RXN	b1800
GLYCOPHOSPHORYL-RXN	b3428
RXN0-6371	b0837
GSDEADENYLATION-RXN	b3053
RXN0-6479	b3164
RXN0-6479	b1286
RXN-20429	b1749
H2PTERIDINEPYROPHOSPHOKIN-RXN	b0142
RXN-20755	b0503
RXN-1381	b4041
5-NUCLEOTID-RXN	b0480
5-NUCLEOTID-RXN	b2744
5-NUCLEOTID-RXN	b4374
5-NUCLEOTID-RXN	b0675
5-NUCLEOTID-RXN	b4055
RXN-21025	b3503
RXN-14091	b4213
ISOCHORSYN-RXN	b0593
ISOCHORSYN-RXN	b2265
RXN0-6708	b0337
ACETATE--COA-LIGASE-RXN	b4069
RXN-21305	b2159
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	b3729
RXN0-6945	b2521
ACONITATEHYDR-RXN	b1276
ACONITATEHYDR-RXN	b0118
RXN-6161	b0871
RXN-14325	b2780
LYSDECARBOX-RXN	b4131
LYSDECARBOX-RXN	b0186
ADENYLOSUCCINATE-SYNTHASE-RXN	b4177
RXN-8073	b1732
RXN-14481	b0661
MANNONOXIDOREDUCT-RXN	b4323
RXN0-7012	b1046
SUCCGLUALDDEHYD-RXN	b1746
RXN-8675	b3368
RXN-14523	b4055
MHPELY-RXN	b0352
RXN0-7068	b3741
RXN0-7068	b3706
AMINOPROPDEHYDROG-RXN	b3945
RXN-9951	b1136
NANK-RXN	b3222
RXN0-7119	b0325
RXN0-7119	b3012
RXN0-7119	b0493
RXN0-7119	b3003
ASPARAGHYD-RXN	b2957
ASPARAGHYD-RXN	b1767
ASPARAGHYD-RXN	b0828
RXN0-1603	b2954
RXN-15123	b3772
RXN-15123	b3117
RXN-15123	b3939
OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	b0662
RXN0-2044	b1395
RXN-15299	b3882
SUCCCOASYN-RXN	b0728
SUCCCOASYN-RXN	b0729
CDPDIGLYPYPHOSPHA-RXN	b3918
RXN0-2606	b2565
RXN0-2606	b0472
RXN0-2606	b3700
PGLYCDEHYDROG-RXN	b2913
RXN0-299	b0368
PHOSPHAGLYPSYN-RXN	b1912
RXN0-743	b0523
RXN-16701	b2913
PPPGPPHYDRO-RXN	b3779
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	b0355
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	b2154
DEOXYADENPHOSPHOR-RXN	b4384
RXN0-3921	b1301
PSERTRANSAMPYR-RXN	b0907
DIAMACTRANS-RXN	b1584
RXN0-4581	b3546
QOR-RXN	b4051
TDPFUCACTRANS-RXN	b3790
DLACTDEHYDROGNAD-RXN	b1380
RXN0-5065	b1396
RXN-17778	b3845
RXN-17778	b2342
RHAMNULPALDOL-RXN	b3902
THYKI-RXN	b1238
DUTP-PYROP-RXN	b3640
DUTP-PYROP-RXN	b2251
RXN0-5125	b3627
RXN-17794	b3846
RXN-17794	b2341
FADSYN-RXN	b0025
RXN-17918	b3647
RXN-17918	b2411
RXN-11277	b1278
UDPACYLGLCNACDEACETYL-RXN	b0096
GABATRANSAM-RXN	b2662
GABATRANSAM-RXN	b1302
RXN0-5225	b0110
RXN0-5225	b0867
RXN-18092	b3447
RXN-11589	b2806
URKI-RXN	b2066
GDPMANMANHYDRO-RXN	b2051
2.3.1.118-RXN	b1463
RXN-18709	b3345
RXN-18709	b3344
RXN-18709	b3343
RXN-11791	b2047
2.7.7.60-RXN	b2747
RXN-11860	b3606
GLUTSEMIALDEHYDROG-RXN	b0243
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	b3843
RXN-1961	b0188
GLYOHMETRANS-RXN	b2551
RXN-12611	b3993
GST-RXN	b1635
GST-RXN	b2301
RXN0-6482	b3643
RXN-12896	b1011
HEMEOSYN-RXN	b0428
RXN0-6515	b3465
3.5.2.17-RXN	b1970
RXN-20767	b3070
RXN0-6555	b3070
5.3.1.17-RXN	b2843
RXN-21080	b1198
RXN-21080	b1199
RXN-21080	b1200
RXN-14115	b4213
RXN-14115	b0383
ISPH2-RXN	b0029
RXN0-6720	b1518
ACETOLACTREDUCTOISOM-RXN	b3774
RXN-2425	b1393
RXN-14255	b0452
L-RHAMNONATE-DEHYDRATASE-RXN	b2247
RXN0-6952	b3821
ACYLCOADEHYDROG-RXN	b0221
RXN-14379	b4114
LYXISOM-RXN	b3903
ADPSUGPPHOSPHAT-RXN	b3034
ADPSUGPPHOSPHAT-RXN	b3397
RXN-8340	b0781
MANNPISOM-RXN	b1613
RXN0-7020	b0207
RXN0-7020	b3012
ALKAPHOSPHA-RXN	b0383
RXN-8974	b1008
RXN-8974	b1539
RXN-14534	b4055
N-ACETYLGLUCOSAMINE-KINASE-RXN	b1119
RXN0-7078	b1120
AMPSYN-RXN	b1131
RXN0-1001	b1002
RXN0-7141	b0419
ASPARTATE--TRNA-LIGASE-RXN	b1866
RXN-15127	b2797
RXN-15127	b3117
RXN-15127	b1814
RXN-15127	b3111
RXN-15127	b2414
RXN-15127	b2421
RXN-15127	b3109
RXN-15127	b3008
RXN-15127	b1622
RXN-15127	b2366
RXN-15127	b3708
RXN-15127	b1919
OHMETHYLBILANESYN-RXN	b3805
BETA-LACTAMASE-RXN	b4150
BETA-LACTAMASE-RXN	b0632
BETA-LACTAMASE-RXN	b2010
RXN0-2101	b1590
RXN0-2101	b1589
RXN0-2101	b1588
RXN0-2101	b1587
PANTEPADENYLYLTRAN-RXN	b3634
RXN0-7291	b1759
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	b3533
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	b3532
RXN0-2625	b2831
RXN0-2625	b2733
RXN0-2625	b4170
RXN-15943	b1517
PGPPHOSPHA-RXN	b0418
PGPPHOSPHA-RXN	b1278
PGPPHOSPHA-RXN	b2560
RXN0-302	b2746
PHOSPHOAMIDASE-RXN	b0383
RXN0-961	b1326
DALADALALIG-RXN	b0381
DALADALALIG-RXN	b0092
